scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
96,36.92627,17.684937,1,31.021118,8.483887,1,42.8397216796875,6.40529584884644,1,29.876709,-4.5928955,1,33.90503,-9.216309,1,38.513184,-10.848999,1
97,36.849976,17.730713,1,30.88379,8.392334,1,42.7020225524902,6.31161451339722,1,29.571533,-4.486084,1,33.477783,-9.170532,1,38.131714,-10.940552,1
98,36.819458,17.822266,1,30.838013,8.605957,1,42.6233596801758,6.34640121459961,1,29.251099,-4.1503906,1,32.974243,-9.124756,1,37.506104,-10.955811,1
99,36.880493,17.944336,1,30.715942,8.621216,1,42.494499206543,6.32653188705444,1,28.930664,-3.9215088,1,32.455444,-9.048462,1,37.200928,-11.016846,1
100,36.849976,18.112183,1,30.685425,8.850098,1,42.4114265441895,6.30040740966797,1,28.625488,-3.6468506,1,31.87561,-8.94165,1,36.65161,-11.001587,1
101,36.743164,18.310547,1,30.593872,9.033203,1,42.2760314941406,6.28964900970459,1,28.320312,-3.4179688,1,31.38733,-8.926392,1,35.858154,-10.925293,1
102,36.77368,18.463135,1,30.441284,9.20105,1,42.0960388183594,6.34330701828003,1,28.030396,-3.2043457,1,30.899048,-8.81958,1,35.232544,-10.864258,1
103,36.743164,18.615723,1,30.319214,9.460449,1,41.9119720458984,6.36077451705933,1,27.72522,-3.0059814,1,30.395508,-8.773804,1,34.729004,-10.879517,1
104,36.66687,18.844604,1,30.227661,9.674072,1,41.7502365112305,6.32291793823242,1,27.420044,-2.822876,1,29.891968,-8.728027,1,34.194946,-10.894775,1
105,36.727905,18.997192,1,30.151367,9.918213,1,41.5826263427734,6.2676854133606,1,27.08435,-2.609253,1,29.388428,-8.666992,1,33.64563,-10.940552,1
106,36.819458,19.28711,1,30.12085,10.147095,1,41.4332427978516,6.14337348937988,1,26.733398,-2.39563,1,28.85437,-8.636475,1,32.943726,-10.848999,1
107,36.895752,19.454956,1,30.12085,10.437012,1,41.2838897705078,6.03400039672852,1,26.443481,-2.2583008,1,28.335571,-8.605957,1,32.50122,-10.864258,1
108,37.03308,19.699097,1,30.12085,10.635376,1,41.1284675598145,5.85705375671387,1,26.09253,-2.0751953,1,27.832031,-8.560181,1,32.01294,-10.894775,1
109,37.124634,19.821167,1,30.227661,10.71167,1,41.0850677490234,5.60121202468872,1,25.83313,-1.9073486,1,27.313232,-8.4991455,1,31.311035,-10.818481,1
110,37.30774,19.79065,1,30.319214,10.650635,1,41.0464591979981,5.27232551574707,1,25.57373,-1.7700195,1,26.809692,-8.453369,1,30.776978,-10.818481,1
111,37.399292,19.683838,1,30.380249,10.665894,1,40.9668350219727,5.01574802398682,1,25.314331,-1.6174316,1,26.290894,-8.392334,1,29.937744,-10.5896,1
112,37.521362,19.66858,1,30.426025,10.681152,1,40.8090896606445,4.66517210006714,1,24.871826,-1.2512207,1,25.787354,-8.239746,1,29.60205,-10.803223,1
113,37.65869,19.607544,1,30.578613,10.757446,1,40.7719879150391,4.42537260055542,1,24.658203,-0.9918213,1,25.32959,-8.117676,1,29.067993,-10.787964,1
114,37.704468,19.683838,1,30.654907,10.772705,1,40.7866134643555,4.34242248535156,1,24.505615,-0.5493164,1,24.917603,-7.7667236,1,28.61023,-10.7421875,1
115,37.704468,19.729614,1,30.807495,10.879517,1,40.9306373596191,4.43576431274414,1,24.475098,0.16784668,1,24.551392,-7.247925,1,27.84729,-10.314941,1
116,37.79602,19.927979,1,30.88379,11.0321045,1,41.0293235778809,4.62366247177124,1,24.398804,1.0986328,1,24.490356,-6.5307617,1,27.648926,-10.1623535,1
117,37.902832,20.095825,1,30.944824,11.291504,1,41.0847473144531,4.87418365478516,1,24.291992,2.2277832,1,24.719238,-5.5236816,1,27.267456,-9.58252,1
118,37.91809,20.431519,1,30.944824,11.657715,1,41.0903968811035,5.24933195114136,1,24.215698,3.189087,1,25.283813,-4.4555664,1,27.252197,-8.7890625,1
119,37.94861,20.721436,1,30.944824,12.145996,1,41.0474891662598,5.67018508911133,1,24.108887,4.2266846,1,25.817871,-3.0670166,1,27.862549,-7.5531006,1
120,38.009644,21.072388,1,30.853271,12.619019,1,41.0335731506348,6.26595497131348,1,24.06311,5.264282,1,26.489258,-1.4648438,1,28.961182,-5.935669,1
121,37.979126,21.362305,1,30.792236,13.061523,1,41.0231742858887,6.79032421112061,1,24.047852,5.874634,1,27.069092,0.091552734,1,29.830933,-4.135132,1
122,37.902832,21.652222,1,30.792236,13.48877,1,41.1042785644531,7.35185289382935,1,24.169922,5.859375,1,27.633667,0.9613037,1,30.60913,-2.9296875,1
123,37.78076,22.04895,1,30.761719,13.702393,1,41.2317237854004,7.83903169631958,1,24.414062,5.355835,1,28.121948,1.1901855,1,31.570435,-2.380371,1
124,37.55188,22.415161,1,30.853271,13.809204,1,41.3721466064453,8.03397941589356,1,24.749756,4.470825,1,28.915405,1.0070801,1,32.989502,-2.090454,1
125,37.261963,22.705078,1,30.822754,13.778687,1,41.6136360168457,8.52922534942627,1,25.390625,3.4484863,1,29.876709,0.7324219,1,34.40857,-1.7242432,1
126,36.987305,22.93396,1,30.822754,13.763428,1,41.8461151123047,9.02154064178467,1,26.184082,2.4108887,1,30.838013,0.22888184,1,35.980225,-1.5716553,1
127,36.621094,23.07129,1,30.670166,13.73291,1,41.9359283447266,9.59979724884033,1,27.08435,1.3275146,1,31.738281,-0.30517578,1,37.0636,-1.5869141,1
128,36.209106,23.162842,1,30.36499,13.595581,1,41.9119491577149,10.3294315338135,1,28.060913,0.47302246,1,32.669067,-0.93078613,1,38.05542,-1.8920898,1
129,35.812378,23.19336,1,30.075073,13.458252,1,41.8044395446777,10.9240970611572,1,29.067993,-0.33569336,1,33.53882,-1.6326904,1,38.83362,-2.3651123,1
130,35.339355,23.19336,1,29.724121,13.290405,1,41.5611000061035,11.3191289901733,1,29.98352,-1.1291504,1,34.347534,-2.4414062,1,39.611816,-3.0517578,1
131,34.89685,23.19336,1,29.373169,13.168335,1,41.2697944641113,11.5966215133667,1,30.74646,-1.7547607,1,35.125732,-3.2043457,1,40.267944,-3.8757324,1
132,34.469604,23.1781,1,29.006958,13.046265,1,40.9422454833984,11.8017101287842,1,31.341553,-2.2277832,1,35.842896,-3.9367676,1,40.802002,-4.7302246,1
133,34.118652,23.101807,1,28.686523,12.863159,1,40.6389923095703,11.7961616516113,1,31.860352,-2.7618408,1,36.392212,-4.699707,1,41.35132,-5.569458,1
134,33.843994,23.010254,1,28.442383,12.710571,1,40.4013595581055,11.7191667556763,1,32.287598,-3.2196045,1,36.987305,-5.3100586,1,41.809082,-6.210327,1
135,33.53882,22.857666,1,28.152466,12.573242,1,40.1146278381348,11.6210336685181,1,32.63855,-3.6468506,1,37.44507,-5.783081,1,42.44995,-6.668091,1
136,33.2489,22.705078,1,27.938843,12.313843,1,39.9018020629883,11.3717412948608,1,32.86743,-4.1046143,1,37.887573,-6.2408447,1,42.938232,-7.1411133,1
137,33.02002,22.476196,1,27.664185,12.069702,1,39.6239013671875,11.0872535705566,1,33.02002,-4.5776367,1,38.208008,-6.7596436,1,43.24341,-7.6446533,1
138,32.730103,22.29309,1,27.496338,11.856079,1,39.4473876953125,10.7733011245728,1,33.081055,-4.989624,1,38.375854,-7.293701,1,43.35022,-8.178711,1
139,32.546997,22.018433,1,27.252197,11.611938,1,39.1979827880859,10.4725503921509,1,33.03528,-5.3710938,1,38.42163,-7.7667236,1,43.395996,-8.682251,1
140,32.333374,21.80481,1,27.08435,11.367798,1,39.0309600830078,10.2370748519897,1,33.050537,-5.6762695,1,38.406372,-8.2092285,1,43.273926,-9.155273,1
141,32.318115,21.54541,1,26.96228,11.09314,1,38.9031219482422,9.90306377410889,1,33.050537,-6.0577393,1,38.43689,-8.712769,1,43.304443,-9.765625,1
