scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
96,-36.331177,14.373779,1,-43.914795,10.910034,1,-34.0671348571777,6.00864601135254,1,-34.622192,-7.9803467,1,-28.167725,-11.108398,1,-23.971558,-11.627197,1
97,-36.514282,14.328003,1,-44.174194,10.879517,1,-34.2964706420898,6.03900241851807,1,-35.15625,-7.9345703,1,-28.747559,-11.047363,1,-24.627686,-11.611938,1
98,-36.712646,14.297485,1,-44.403076,10.894775,1,-34.5442428588867,6.01590347290039,1,-35.720825,-7.9345703,1,-29.35791,-11.138916,1,-25.253296,-11.657715,1
99,-36.865234,14.23645,1,-44.6167,10.879517,1,-34.7468338012695,6.02299785614014,1,-36.315918,-7.888794,1,-30.029297,-11.09314,1,-25.83313,-11.627197,1
100,-36.987305,14.221191,1,-44.815063,10.848999,1,-34.9264068603516,6.03085947036743,1,-36.91101,-7.827759,1,-30.60913,-11.123657,1,-26.45874,-11.642456,1
101,-37.0636,14.160156,1,-44.937134,10.940552,1,-35.104866027832,6.00835990905762,1,-37.42981,-7.797241,1,-31.265259,-11.09314,1,-27.069092,-11.672974,1
102,-37.17041,14.175415,1,-45.12024,10.940552,1,-35.2780151367187,6.02826023101807,1,-37.994385,-7.7056885,1,-31.814575,-11.108398,1,-27.72522,-11.657715,1
103,-37.18567,14.129639,1,-45.181274,10.971069,1,-35.3680953979492,6.00101089477539,1,-38.497925,-7.6446533,1,-32.455444,-11.108398,1,-28.289795,-11.71875,1
104,-37.231445,14.099121,1,-45.303345,11.047363,1,-35.5412940979004,5.97761535644531,1,-39.07776,-7.5683594,1,-33.02002,-11.077881,1,-28.915405,-11.657715,1
105,-37.216187,14.022827,1,-45.303345,11.077881,1,-35.5707931518555,5.95172309875488,1,-39.5813,-7.461548,1,-33.599854,-11.047363,1,-29.49524,-11.71875,1
106,-37.15515,14.038086,1,-45.333862,11.123657,1,-35.6579818725586,5.89132595062256,1,-40.100098,-7.385254,1,-34.210205,-11.062622,1,-30.12085,-11.688232,1
107,-37.124634,13.977051,1,-45.333862,11.138916,1,-35.6716957092285,5.88129711151123,1,-40.57312,-7.232666,1,-34.744263,-11.001587,1,-30.74646,-11.703491,1
108,-36.972046,13.916016,1,-45.303345,11.230469,1,-35.7118988037109,5.84491348266602,1,-41.09192,-7.080078,1,-35.369873,-10.986328,1,-31.356812,-11.734009,1
109,-36.895752,13.809204,1,-45.211792,11.291504,1,-35.688404083252,5.78649616241455,1,-41.549683,-6.92749,1,-35.964966,-10.940552,1,-31.967163,-11.734009,1
110,-36.8042,13.717651,1,-45.166016,11.3220215,1,-35.7118148803711,5.6990270614624,1,-42.037964,-6.790161,1,-36.5448,-10.83374,1,-32.546997,-11.734009,1
111,-36.697388,13.61084,1,-45.166016,11.260986,1,-35.7210273742676,5.62252521514893,1,-42.48047,-6.6375732,1,-37.04834,-10.803223,1,-33.14209,-11.734009,1
112,-36.605835,13.473511,1,-45.181274,11.199951,1,-35.6955299377441,5.63033390045166,1,-42.892456,-6.378174,1,-37.612915,-10.726929,1,-33.706665,-11.71875,1
113,-36.468506,13.381958,1,-45.10498,11.169434,1,-35.6158218383789,5.60563802719116,1,-43.24341,-6.134033,1,-38.146973,-10.635376,1,-34.2865,-11.779785,1
114,-36.376953,13.244629,1,-45.013428,11.154175,1,-35.5846633911133,5.48862457275391,1,-43.655396,-5.9509277,1,-38.69629,-10.559082,1,-34.851074,-11.749268,1
115,-36.224365,13.122559,1,-44.96765,11.154175,1,-35.6156997680664,5.36271190643311,1,-44.067383,-5.79834,1,-39.230347,-10.437012,1,-35.446167,-11.734009,1
116,-36.14807,13.092041,1,-44.98291,11.21521,1,-35.6208038330078,5.44018220901489,1,-44.403076,-5.4626465,1,-39.764404,-10.345459,1,-36.05652,-11.734009,1
117,-36.087036,13.061523,1,-44.937134,11.306763,1,-35.6506423950195,5.41090869903564,1,-44.815063,-5.1727295,1,-40.252686,-10.238647,1,-36.590576,-11.734009,1
118,-35.964966,13.153076,1,-44.891357,11.398315,1,-35.6459007263184,5.43832111358643,1,-45.10498,-4.8828125,1,-40.771484,-10.070801,1,-37.17041,-11.71875,1
119,-35.88867,13.22937,1,-44.73877,11.566162,1,-35.5652923583984,5.4959659576416,1,-45.303345,-4.562378,1,-41.18347,-9.994507,1,-37.719727,-11.734009,1
120,-35.720825,13.412476,1,-44.647217,11.825562,1,-35.5774269104004,5.60149908065796,1,-45.562744,-4.211426,1,-41.671753,-9.780884,1,-38.2843,-11.688232,1
121,-35.568237,13.595581,1,-44.509888,11.978149,1,-35.4702835083008,5.71032905578613,1,-45.73059,-3.8146973,1,-42.06848,-9.643555,1,-38.81836,-11.611938,1
122,-35.41565,13.73291,1,-44.34204,12.252808,1,-35.4010391235352,5.8451132774353,1,-45.898438,-3.4179688,1,-42.556763,-9.460449,1,-39.367676,-11.611938,1
123,-35.339355,13.99231,1,-44.128418,12.512207,1,-35.2968063354492,5.95457077026367,1,-46.066284,-2.9907227,1,-42.95349,-9.277344,1,-39.94751,-11.535645,1
124,-35.217285,14.23645,1,-43.96057,12.817383,1,-35.2671890258789,6.0775671005249,1,-46.23413,-2.6245117,1,-43.411255,-9.048462,1,-40.512085,-11.459351,1
125,-35.110474,14.465332,1,-43.807983,13.137817,1,-35.2367553710937,6.24332141876221,1,-46.37146,-2.243042,1,-43.899536,-8.834839,1,-41.0614,-11.428833,1
126,-34.942627,14.678955,1,-43.5791,13.473511,1,-35.2431907653809,6.29628562927246,1,-46.554565,-1.953125,1,-44.311523,-8.621216,1,-41.625977,-11.33728,1
127,-34.77478,14.9383545,1,-43.380737,13.793945,1,-35.2389373779297,6.39725208282471,1,-46.707153,-1.6326904,1,-44.708252,-8.43811,1,-42.160034,-11.3220215,1
128,-34.591675,15.106201,1,-43.136597,14.144897,1,-35.2602081298828,6.46619319915772,1,-46.89026,-1.3275146,1,-45.135498,-8.270264,1,-42.72461,-11.21521,1
129,-34.439087,15.457153,1,-42.86194,14.465332,1,-35.2851371765137,6.49086618423462,1,-47.088623,-1.0375977,1,-45.547485,-8.132935,1,-43.273926,-11.260986,1
130,-34.210205,15.686035,1,-42.58728,14.877319,1,-35.3689346313477,6.576988697052,1,-47.27173,-0.79345703,1,-45.97473,-7.8582764,1,-43.823242,-11.154175,1
131,-33.996582,15.914917,1,-42.3584,15.151978,1,-35.3433227539062,6.67915344238281,1,-47.37854,-0.47302246,1,-46.325684,-7.659912,1,-44.265747,-11.077881,1
